headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
MarketWatch News on AMT,02/08/2015,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,AMT,2.5
American Tower profit falls 22% on higher costs,02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-profit-falls-22-on-higher-costs-2013-10-30,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
American Tower profit doubles; raises 2013 view,02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-profit-doubles-raises-2013-view-2013-07-31,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
American Tower profit down 23% on higher costs,02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-profit-down-23-on-higher-costs-2013-05-01,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
American Tower earnings fall; revenue beats target,02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-earnings-fall-revenue-beats-target-2013-02-26,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
Watch For Today's Momo Momentum Stock: American Tower (AMT),02/08/2015,https://web.archive.org/web/20150208030908/http://www.thestreet.com/story/13023050/1/watch-for-todays-momo-momentum-stock-american-tower-amt.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Plans Fourth Quarter and Full 
      Year 2014 Earnings Release and Conference Call",02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-plans-fourth-quarter-and-full-year-2014-earnings-release-and-conference-call-2015-01-26,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"REITs Stocks under Review -- American Tower, Iron Mountain, Gramercy Property Trust, Sunstone Hotel Investors, and Rayonier",02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/reits-stocks-under-review----american-tower-iron-mountain-gramercy-property-trust-sunstone-hotel-investors-and-rayonier-2014-12-29,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation to Present at the UBS 42nd Annual Global 
      Media and Communications Conference",02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-corporation-to-present-at-the-ubs-42nd-annual-global-media-and-communications-conference-2014-12-05,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation Declares Quarterly 
      Distributions",02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-corporation-declares-quarterly-distributions-2014-12-02,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
Fitch: American Tower's Acquisitions Not Expected to Pressure Rating,02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/fitch-american-towers-acquisitions-not-expected-to-pressure-rating-2014-11-24,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation to Present at the 14th 
      Annual Morgan Stanley European Technology, Media & Telecoms Conference",02/08/2015,http:///web/20150208030908/http://www.marketwatch.com/story/american-tower-corporation-to-present-at-the-14th-annual-morgan-stanley-european-technology-media-telecoms-conference-2014-11-14,['AMT'],,MarketWatch,https://web.archive.org/web/20150208030908/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
American Tower (AMT) Earnings Report: Q4 2014 Conference Call Transcript,03/03/2015,https://web.archive.org/web/20150303003652/http://www.thestreet.com/story/13056730/1/american-tower-amt-earnings-report-q4-2014-conference-call-transcript.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"HCN, AMT And VTR, Pushing Financial Sector Downward",03/03/2015,https://web.archive.org/web/20150303003652/http://www.thestreet.com/story/13056671/1/hcn-amt-and-vtr-pushing-financial-sector-downward.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,AMT,2.5
What to Expect When American Tower (AMT) Reports Earnings Results on Tuesday,03/03/2015,https://web.archive.org/web/20150303003652/http://www.thestreet.com/story/13054760/1/what-to-expect-when-american-tower-amt-reports-earnings-results-on-tuesday.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation Prices Concurrent 
      Public Offerings of Common Stock and Mandatory Convertible Preferred 
      Stock",03/03/2015,http:///web/20150303003652/http://www.marketwatch.com/story/american-tower-corporation-prices-concurrent-public-offerings-of-common-stock-and-mandatory-convertible-preferred-stock-2015-02-26-81593023,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation Announces Proposed 
      Concurrent Public Offering of Common Stock and Mandatory Convertible 
      Preferred Stock",03/03/2015,http:///web/20150303003652/http://www.marketwatch.com/story/american-tower-corporation-announces-proposed-concurrent-public-offering-of-common-stock-and-mandatory-convertible-preferred-stock-2015-02-24,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"REITs Stocks Technical Analysis - Lexington Realty Trust, American Tower, Chambers Street Properties, Iron Mountain, and Rayonier",03/03/2015,http:///web/20150303003652/http://www.marketwatch.com/story/reits-stocks-technical-analysis---lexington-realty-trust-american-tower-chambers-street-properties-iron-mountain-and-rayonier-2015-02-11,['AMT'],,MarketWatch,https://web.archive.org/web/20150303003652/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"3 Stocks Reiterated As A Buy: UAL, MPC, AMT",03/12/2015,https://web.archive.org/web/20150312123739/http://www.thestreet.com/story/13065428/1/3-stocks-reiterated-as-a-buy-ual-mpc-amt.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150312123739/http://www.marketwatch.com:80/investing/stock/amt,AMT,2.5
"American Tower Corporation Declares Quarterly 
      Distribution",03/12/2015,http:///web/20150312123739/http://www.marketwatch.com/story/american-tower-corporation-declares-quarterly-distribution-2015-03-05,['AMT'],,MarketWatch,https://web.archive.org/web/20150312123739/http://www.marketwatch.com:80/investing/stock/amt,American Tower,2.5
"American Tower Corporation to Present at the 2015 Deutsche Bank 23rd 
      Annual Media, Internet and Telecom Conference",03/12/2015,http:///web/20150312123739/http://www.marketwatch.com/story/american-tower-corporation-to-present-at-the-2015-deutsche-bank-23rd-annual-media-internet-and-telecom-conference-2015-03-03,['AMT'],,MarketWatch,https://web.archive.org/web/20150312123739/http://www.marketwatch.com:80/investing/stock/amt,American Tower,2.5
"American Tower Corporation Announces Closing of 
      Concurrent Offerings of Common Stock and Mandatory Convertible Preferred 
      Stock",03/12/2015,http:///web/20150312123739/http://www.marketwatch.com/story/american-tower-corporation-announces-closing-of-concurrent-offerings-of-common-stock-and-mandatory-convertible-preferred-stock-2015-03-03,['AMT'],,MarketWatch,https://web.archive.org/web/20150312123739/http://www.marketwatch.com:80/investing/stock/amt,American Tower,2.5
American Tower (AMT) Stock Declines After Missing Earnings Expectations,05/13/2015,https://web.archive.org/web/20150513100556/http://www.thestreet.com/story/13134206/1/american-tower-amt-stock-declines-after-missing-earnings-expectations.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
American Tower (AMT) Earnings Report: Q1 2015 Conference Call Transcript,05/13/2015,https://web.archive.org/web/20150513100556/http://www.thestreet.com/story/13133754/1/american-tower-amt-earnings-report-q1-2015-conference-call-transcript.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"Technical Coverage on Specialized REITs Stocks -- Weyerhaeuser, American Tower, CubeSmart, Plum Creek Timber, and Rayonier",05/13/2015,http:///web/20150513100556/http://www.marketwatch.com/story/technical-coverage-on-specialized-reits-stocks----weyerhaeuser-american-tower-cubesmart-plum-creek-timber-and-rayonier-2015-05-08,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation Prices Senior Notes 
      Offering",05/13/2015,http:///web/20150513100556/http://www.marketwatch.com/story/american-tower-corporation-prices-senior-notes-offering-2015-05-04,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Corporation Declares Preferred 
      Stock Dividends",05/13/2015,http:///web/20150513100556/http://www.marketwatch.com/story/american-tower-corporation-declares-preferred-stock-dividends-2015-04-14,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
"American Tower Plans First Quarter 2015 
      Earnings Release and Conference Call",05/13/2015,http:///web/20150513100556/http://www.marketwatch.com/story/american-tower-plans-first-quarter-2015-earnings-release-and-conference-call-2015-04-02,['AMT'],,MarketWatch,https://web.archive.org/web/20150513100556/http://www.marketwatch.com:80/investing/Stock/AMT?,American Tower,2.5
Using Options to Ring Up Profit From American Tower,07/07/2015,https://web.archive.org/web/20150707230134/http://www.thestreet.com/story/13182111/1/using-options-to-ring-up-profit-from-american-tower.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMT'],,MarketWatch,https://web.archive.org/web/20150707230134/http://www.marketwatch.com/investing/stock/AMT,American Tower,2.5
"American Tower Plans Second Quarter 2015 
      Earnings Release and Conference Call",07/07/2015,http:///web/20150707230134/http://www.marketwatch.com/story/american-tower-plans-second-quarter-2015-earnings-release-and-conference-call-2015-07-02,['AMT'],,MarketWatch,https://web.archive.org/web/20150707230134/http://www.marketwatch.com/investing/stock/AMT,American Tower,2.5
"Fitch Assigns Final Ratings to American Tower Secured Revenue Notes 
      Series 2015-1 & 2015-2",07/07/2015,http:///web/20150707230134/http://www.marketwatch.com/story/fitch-assigns-final-ratings-to-american-tower-secured-revenue-notes-series-2015-1-2015-2-2015-05-29,['AMT'],,MarketWatch,https://web.archive.org/web/20150707230134/http://www.marketwatch.com/investing/stock/AMT,American Tower,2.5
