headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
MarketWatch News on AMZN,01/02/2015,https://web.archive.org/web/20150102003136/http://www.marketwatch.com/investing/stock/amzn,['AMZN'],,MarketWatch,https://web.archive.org/web/20150102003136/http://www.marketwatch.com/investing/stock/amzn,AMZN,2.5
Amazon Unveils ‘Make an Offer’ for Customers to Negotiate Lower Prices,01/02/2015,http:///web/20150102003136/http://www.marketwatch.com/story/amazon-unveils-make-an-offer-for-customers-to-negotiate-lower-prices-2014-12-09,['AMZN'],,MarketWatch,https://web.archive.org/web/20150102003136/http://www.marketwatch.com/investing/stock/amzn,Amazon,2.5
Amazon market value jumps by $16.5 billion,02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/amazon-market-value-jumps-by-165-billion-2015-01-30,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
Analysts grow bullish on Amazon's stock price,02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/analysts-grow-bullish-on-amazons-stock-price-2015-01-30,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
Amazon's stock rallies as profit beats forecasts,02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/amazons-stock-rallies-as-profit-beats-forecasts-2015-01-29,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
Amazon says Prime and 'Transparent' are behind strong earnings,02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/amazon-says-prime-transparent-are-behind-strong-earnings-2015-01-29,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
Did Amazon Really Deserve Analyst Downgrade to Sell After Great Earnings?,02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/did-amazon-really-deserve-analyst-downgrade-to-sell-after-great-earnings-2015-02-01,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
"Amazon Spikes on Earnings Beat, Broadcom Rises on Quarterly Performance: Tech Winners & Losers",02/01/2015,https://web.archive.org/web/20150201160102/http://www.thestreet.com/story/13029927/1/amazon-spikes-on-earnings-beat-broadcom-rises-on-quarterly-performance-tech-winners-losers.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
"Amazon Web Services to Use Wind Farm Power to Supply its Datacenters 
      with Approximately 500,000 MWh of Power Annually",02/01/2015,http:///web/20150201160102/http://www.marketwatch.com/story/amazon-web-services-to-use-wind-farm-power-to-supply-its-datacenters-with-approximately-500000-mwh-of-power-annually-2015-01-20-81591335,['AMZN'],,MarketWatch,https://web.archive.org/web/20150201160102/http://www.marketwatch.com:80/investing/stock/Amzn,Amazon,2.5
Tablet market shrinks as Amazon Fire nosedives,02/07/2015,http:///web/20150207072458/http://www.marketwatch.com/story/tablet-market-shrinks-as-amazon-fire-nosedives-2015-02-02,['AMZN'],,MarketWatch,https://web.archive.org/web/20150207072458/http://www.marketwatch.com:80/investing/stock/amzn,Amazon,2.5
Don't Be Fooled Again by Amazon's Fourth-Quarter Earnings,02/07/2015,https://web.archive.org/web/20150207072458/http://www.thestreet.com/story/13037548/1/dont-be-fooled-again-by-amazons-fourth-quarter-earnings.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMZN'],,MarketWatch,https://web.archive.org/web/20150207072458/http://www.marketwatch.com:80/investing/stock/amzn,Amazon,2.5
"Internet Retail Stocks Technical Data - Amazon.com, Vipshop Holdings, Jumei Intl. Holding, Priceline, and Lands' End",02/07/2015,http:///web/20150207072458/http://www.marketwatch.com/story/internet-retail-stocks-technical-data---amazoncom-vipshop-holdings-jumei-intl-holding-priceline-and-lands-end-2015-02-02,['AMZN'],,MarketWatch,https://web.archive.org/web/20150207072458/http://www.marketwatch.com:80/investing/stock/amzn,Amazon,2.5
'Fast Money' Recap: Stocks to Buy Your Valentine; Amazon vs. Jet.com; Strong Dollar on Tap,02/17/2015,https://web.archive.org/web/20150217060147/http://www.thestreet.com/story/13046484/1/fast-money-recap-stocks-to-buy-your-valentine-amazon-vs-jetcom-strong-dollar-on-tap.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['AMZN'],,MarketWatch,https://web.archive.org/web/20150217060147/http://www.marketwatch.com:80/investing/stock/AMZN,Amazon,2.5
