headline,Date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Apple (AAPL) to Report Q3 Earnings: Will it Beat Estimates? - Analyst Blog,07/19/2015,https://web.archive.org/web/20150719025543/http://finance.yahoo.com:80/news/,['AAPL'],,Yahoo Finance,https://web.archive.org/web/20150719025543/http://finance.yahoo.com:80/news/,Apple,4.3
Apple stock suffers worst day in more than four years after ‘Houdini-like move’ with earnings,11/04/2018,https://web.archive.org/web/20181104055752/https://www.marketwatch.com/personal-finance,['AAPL'],,MarketWatch,https://web.archive.org/web/20181104055752/https://www.marketwatch.com/personal-finance,Apple,3.8
Apple has 'something to hide': Here's what every major analyst had to say about its earnings report,11/04/2018,https://web.archive.org/web/20181104073915/https://www.cnbc.com/investing/,['AAPL'],,CNBC,https://web.archive.org/web/20181104073915/https://www.cnbc.com/investing/,Apple,3.8
Apple earnings: Can pricey new iPhones carry the holidays?,10/28/2018,https:///web/20181028190311/https://www.marketwatch.com/story/apple-earnings-can-pricey-new-iphones-carry-the-holidays-2018-10-27?link=MW_latest_news,['AAPL'],,MarketWatch,https://web.archive.org/web/20181028190311/https://www.marketwatch.com/markets,Apple,3.8
"Making Sense of Credit Card Earnings, Apple, P&G: 3 Keys to Your Trading Day",10/22/2018,https://web.archive.org/web/20181022090204/https://www.thestreet.com/quote/AAPL.html,['AAPL'],,The Street,https://web.archive.org/web/20181022090204/https://www.thestreet.com/quote/AAPL.html,Apple,3.8
"Global Wearable Device Security Market will increase more than USD 36 billion in 2023|Apple, Intel, Microsoft, Symantec",10/05/2019,https://web.archive.org/web/20191005191457/https://www.marketwatch.com/story/global-wearable-device-security-market-will-increase-more-than-usd-36-billion-in-2023apple-intel-microsoft-symantec-2019-10-04?mod=mw_quote_news,['AAPL'],,MarketWatch,https://web.archive.org/web/20191005191457/https://www.marketwatch.com/investing/stock/aapl,Apple,3.8
Apple's 5 Most Profitable Business Regions (AAPL),10/05/2019,https://web.archive.org/web/20191005135306/https://finance.yahoo.com/quote/AAPL/,['AAPL'],,Yahoo Finance,https://web.archive.org/web/20191005135306/https://finance.yahoo.com/quote/AAPL/,Apple,3.8
"Technical Coverage on Stocks from Diverse Sectors -- Williams Companies, Apple, Ford, General Motors and Coca-Cola",10/02/2015,http:///web/20151002140235/http://www.marketwatch.com/story/technical-coverage-on-stocks-from-diverse-sectors----williams-companies-apple-ford-general-motors-and-coca-cola-2015-09-21,['AAPL'],,MarketWatch,https://web.archive.org/web/20151002140235/http://www.marketwatch.com:80/investing/stock/AAPL,Apple,3.8
Trading Apple earnings: 3 buys,08/01/2018,https://web.archive.org/web/20180801172825/https://www.cnbc.com/markets/,['AAPL'],,CNBC,https://web.archive.org/web/20180801172825/https://www.cnbc.com/markets/,Apple,3.8
Traders are expecting about a 4% pop or drop from Apple shares after earnings,08/01/2018,https://web.archive.org/web/20180801172825/https://www.cnbc.com/markets/,['AAPL'],,CNBC,https://web.archive.org/web/20180801172825/https://www.cnbc.com/markets/,Apple,3.8
Apple shares fall on disappointing revenue outlook,07/21/2015,http:///web/20150721232917/http://www.marketwatch.com/story/apple-microsoft-yahoo-verizon-earnings-in-focus-2015-07-20,['AAPL'],,MarketWatch,https://web.archive.org/web/20150721232917/http://www.marketwatch.com/investing/stock/AAPL,Apple,3.8
"Dow Jones Sinks as Apple Stock Gets a Price Target Bump, Microsoft Considers a Gaming Acquisition",07/07/2020,https://web.archive.org/web/20200707184806/https://finance.yahoo.com/quote/AAPL,['AAPL'],,Yahoo Finance,https://web.archive.org/web/20200707184806/https://finance.yahoo.com/quote/AAPL,Apple,3.8
Apple Stock Could Get Bumpy as Earnings Approach,07/03/2019,https://web.archive.org/web/20190703043145/https://www.marketwatch.com/investing/stock/aapl,['AAPL'],,MarketWatch,https://web.archive.org/web/20190703043145/https://www.marketwatch.com/investing/stock/aapl,Apple,3.8
"These stocks, including Tesla and Apple, are the real winners for the second quarter of 2020",07/01/2020,https://web.archive.org/web/20200701161922/https://www.marketwatch.com/investing/stock/aapl,['AAPL'],,MarketWatch,https://web.archive.org/web/20200701161922/https://www.marketwatch.com/investing/stock/aapl,Apple,3.8
Retailers slash iPhone prices in China as part of annual ¿¿¿6.18` shopping festival,06/02/2020,https://web.archive.org/web/20200602164246/https://www.zacks.com/stock/quote/AAPL,['AAPL'],,Zacks,https://web.archive.org/web/20200602164246/https://www.zacks.com/stock/quote/AAPL,iPhone,3.8
"Dow 30 Stock Roundup: Apple, Merck Beat; Pfizer Misses on Revenues",05/06/2017,https://web.archive.org/web/20170506132041/https://www.zacks.com/stock/quote/AAPL,['AAPL'],,Zacks,https://web.archive.org/web/20170506132041/https://www.zacks.com/stock/quote/AAPL,Apple,3.8
"House Passes AHCA, Live Streaming War Heats Up, Hot Q1 Earnings: AAPL, FB, TSLA",05/06/2017,https://web.archive.org/web/20170506132041/https://www.zacks.com/stock/quote/AAPL,['AAPL'],,Zacks,https://web.archive.org/web/20170506132041/https://www.zacks.com/stock/quote/AAPL,AAPL,3.8
A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Apple Earnings,04/30/2020,https://web.archive.org/web/20200430101303/https://www.benzinga.com/news,['AAPL'],,Benzinga,https://web.archive.org/web/20200430101303/https://www.benzinga.com/news,Apple,3.8
Market Vet Weighs In On Apple Into Earnings,04/28/2015,https://web.archive.org/web/20150428022550/http://www.benzinga.com:80/trading-ideas?,['AAPL'],,Benzinga,https://web.archive.org/web/20150428022550/http://www.benzinga.com:80/trading-ideas?,Apple,3.8
How This Market Pro Is Playing Apple Before Earnings,04/28/2015,https://web.archive.org/web/20150428022550/http://www.benzinga.com:80/trading-ideas?,['AAPL'],,Benzinga,https://web.archive.org/web/20150428022550/http://www.benzinga.com:80/trading-ideas?,Apple,3.8
Why Apple (AAPL) is Poised to Beat Earnings Estimates Again,04/23/2020,https://web.archive.org/web/20200423025443/https://www.zacks.com/stock/quote/AAPL,['AAPL'],,Zacks,https://web.archive.org/web/20200423025443/https://www.zacks.com/stock/quote/AAPL,Apple,3.8
"Chipotle Is No Amazon, Tesla, Apple or Google and That's Why You Must Dump the Stock",04/21/2017,https://web.archive.org/web/20170421054315/https://www.thestreet.com/quote/AAPL.html,['AAPL'],,The Street,https://web.archive.org/web/20170421054315/https://www.thestreet.com/quote/AAPL.html,Apple,3.8
"Apple, Disney Merger Would Create Limitless Opportunities: Analyst",04/14/2017,https://web.archive.org/web/20170414050839/https://www.thestreet.com/quote/AAPL.html,['AAPL'],,The Street,https://web.archive.org/web/20170414050839/https://www.thestreet.com/quote/AAPL.html,Apple,3.8
Apple Earnings Estimates Keep Falling. The Debate Is Whether to Buy the Stock.,04/05/2020,https://web.archive.org/web/20200405164813/https://www.marketwatch.com/investing/stock/aapl,['AAPL'],,MarketWatch,https://web.archive.org/web/20200405164813/https://www.marketwatch.com/investing/stock/aapl,Apple,3.8
Apple Stock Gets Boost As App Store Revenue Seen To Double By 2023,04/01/2019,https://web.archive.org/web/20190401063429/https://www.marketwatch.com/investing/stock/aapl,['AAPL'],,MarketWatch,https://web.archive.org/web/20190401063429/https://www.marketwatch.com/investing/stock/aapl,Apple,3.8
Gene Munster To Appear On Benzinga's PreMarket Prep After Apple Earnings,01/25/2016,https://web.archive.org/web/20160125035546/http://www.benzinga.com:80/news,['AAPL'],,Benzinga,https://web.archive.org/web/20160125035546/http://www.benzinga.com:80/news,Apple,3.8
"AAPL is down -0.56% today, but how will it be affected by Earnings Reports?",01/21/2018,https://web.archive.org/web/20180121235624/https://www.zacks.com/stock/quote/AAPL,['AAPL'],,Zacks,https://web.archive.org/web/20180121235624/https://www.zacks.com/stock/quote/AAPL,AAPL,3.8
Apple Supplier Skyworks Cuts Profit and Revenue Guidance,01/11/2019,https://web.archive.org/web/20190111104719/https://www.thestreet.com/quote/AAPL.html,['AAPL'],,The Street,https://web.archive.org/web/20190111104719/https://www.thestreet.com/quote/AAPL.html,Apple,3.8
Apple Blames China for Slashing Revenue Forecast,01/04/2019,https://web.archive.org/web/20190104073345/https://finance.yahoo.com/quote/AAPL,['AAPL'],,Yahoo Finance,https://web.archive.org/web/20190104073345/https://finance.yahoo.com/quote/AAPL,Apple,3.8
Warren Buffett's Apple Tumbles on Lowered Revenue Guidance Warning,01/02/2019,https://web.archive.org/web/20190102234250/https://www.marketwatch.com/investing/stock/AAPL,['AAPL'],,MarketWatch,https://web.archive.org/web/20190102234250/https://www.marketwatch.com/investing/stock/AAPL,Apple,3.8
"Reveal Earnings Forecast for Gilead Sciences, Apple, Transocean, Halliburton, Ctrip, and Sirius XM",01/01/2015,http:///web/20150101180937/http://www.marketwatch.com/story/reveal-earnings-forecast-for-gilead-sciences-apple-transocean-halliburton-ctrip-and-sirius-xm-2014-12-08,['AAPL'],,MarketWatch,https://web.archive.org/web/20150101180937/http://www.marketwatch.com:80/investing/Stock/aapl,Apple,3.8
"Reveal Earnings Forecast for Gilead Sciences, Kinder Morgan, JD.Com, Sirius XM, Apple, and Plug Power",01/01/2015,http:///web/20150101180937/http://www.marketwatch.com/story/reveal-earnings-forecast-for-gilead-sciences-kinder-morgan-jdcom-sirius-xm-apple-and-plug-power-2014-12-04,['AAPL'],,MarketWatch,https://web.archive.org/web/20150101180937/http://www.marketwatch.com:80/investing/Stock/aapl,Apple,3.8
