headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Caterpillar Inc. (NYSE:CAT) Just Reported Third-Quarter Earnings: Have Analysts Changed Their Mind On The Stock?,11/02/2020,https://web.archive.org/web/20201102134241/https://finance.yahoo.com/quote/cat,['CAT'],,Yahoo Finance,https://web.archive.org/web/20201102134241/https://finance.yahoo.com/quote/cat,CAT,4.3
"Boeing, Caterpillar report disappointing earnings, but their shares bounce back",10/26/2019,https://web.archive.org/web/20191026110953/https://www.marketwatch.com/investing/stock/CAT,['CAT'],,MarketWatch,https://web.archive.org/web/20191026110953/https://www.marketwatch.com/investing/stock/CAT,CAT,4.3
Caterpillar's stock falls after earnings for the 7th-straight quarter,10/26/2019,https://web.archive.org/web/20191026110953/https://www.marketwatch.com/investing/stock/CAT,['CAT'],,MarketWatch,https://web.archive.org/web/20191026110953/https://www.marketwatch.com/investing/stock/CAT,CAT,4.3
"Caterpillar's stock rallies, defying 6-quarter streak of disappointing earnings reports",10/23/2019,https://web.archive.org/web/20191023045049/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20191023045049/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
Caterpillar and McDonald's earnings — What you need to know in markets on Tuesday,10/23/2018,https://web.archive.org/web/20181023200218/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20181023200218/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Caterpillar tries to allay earnings concerns after shares tank,10/23/2018,https://web.archive.org/web/20181023200218/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20181023200218/https://finance.yahoo.com/quote/CAT/,CAT,4.3
"Caterpillar (CAT) Stock Sinks Following Earnings, Full-Year Forecast Cut",10/23/2015,https://web.archive.org/web/20151023055309/http://www.thestreet.com/story/13334241/1/caterpillar-cat-stock-sinks-following-earnings-full-year-forecast-cut.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['CAT'],,MarketWatch,https://web.archive.org/web/20151023055309/http://www.marketwatch.com:80/investing/stock/CAT,CAT,4.3
Jim Cramer Breaks Down the Market's Reaction to Caterpillar's Earnings Call,08/09/2018,https://web.archive.org/web/20180809014354/https://www.thestreet.com/quote/CAT.html,['CAT'],,The Street,https://web.archive.org/web/20180809014354/https://www.thestreet.com/quote/CAT.html,CAT,4.3
"Buy Caterpillar Stock Ahead of Q2 Earnings, Stay for the Dividend?",07/29/2020,https://web.archive.org/web/20200729070125/https://www.zacks.com/stock/quote/CAT,['CAT'],,Zacks,https://web.archive.org/web/20200729070125/https://www.zacks.com/stock/quote/CAT,CAT,4.3
"Dow 30 Stock Roundup: Impressive INTC, MMM, V, UTX Earnings, BA, CAT Disappoint",07/26/2019,https://web.archive.org/web/20190726205252/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190726205252/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Caterpillar Stock Is Primed for a Post-Earnings Short,07/26/2019,https://web.archive.org/web/20190726205252/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190726205252/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Caterpillar stock jumps 4.5% premarket after earnings blow past estimates,07/26/2017,https://web.archive.org/web/20170726094739/http://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20170726094739/http://www.marketwatch.com/investing/stock/cat,CAT,4.3
Caterpillar shares slide 3% premarket after profit falls short of estimates,07/24/2019,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
"Stocks to Watch: UPS, Caterpillar, Sprint, Chipotle, and More",07/24/2019,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
Caterpillar Earnings: CAT Stock Down on Q2 Miss,07/24/2019,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20190724220042/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
Caterpillar Earnings Miss Badly; Dow Jones Stock Drags Down Index,07/24/2019,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Caterpillar Stock Fell After Disappointing Q2 Earnings,07/24/2019,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,CAT,4.3
"US STOCKS-Wall Street mixed as chip rally counters dismal Caterpillar, Boeing earnings",07/24/2019,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Analyst Discusses Caterpillar's Earnings Miss,07/24/2019,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,['CAT'],,Yahoo Finance,https://web.archive.org/web/20190724203305/https://finance.yahoo.com/quote/CAT/,CAT,4.3
Caterpillar to raise quarterly dividend 1.3% to 78 cents a share,07/08/2017,https://web.archive.org/web/20170708001858/http://www.marketwatch.com:80/investing/Stock/CAT,['CAT'],,MarketWatch,https://web.archive.org/web/20170708001858/http://www.marketwatch.com:80/investing/Stock/CAT,CAT,4.3
Mine For Profits in Caterpillar Inc. (CAT) Stock for Free,07/08/2017,https://web.archive.org/web/20170708001858/http://www.marketwatch.com:80/investing/Stock/CAT,['CAT'],,MarketWatch,https://web.archive.org/web/20170708001858/http://www.marketwatch.com:80/investing/Stock/CAT,CAT,4.3
Caterpillar raised quarterly dividend by 10%,06/15/2018,https://web.archive.org/web/20180615093602/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20180615093602/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
"Caterpillar Stock Has Underperformed, So Now the Company Is Promising Investors Better Profits",05/16/2019,https://web.archive.org/web/20190516081658/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20190516081658/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
Caterpillar to raise quarterly dividend by 20% as part of plan to return cash to investors,05/16/2019,https://web.archive.org/web/20190516081658/https://www.marketwatch.com/investing/stock/cat,['CAT'],,MarketWatch,https://web.archive.org/web/20190516081658/https://www.marketwatch.com/investing/stock/cat,CAT,4.3
