headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
JPMorgan Chase's Trading Revenues,11/17/2017,https://web.archive.org/web/20171117160626/https://finance.yahoo.com/quote/JPM/,['JPM'],,Yahoo Finance,https://web.archive.org/web/20171117160626/https://finance.yahoo.com/quote/JPM/,JPMorgan,4.3
"3 Big Stock Charts for Wednesday: JPMorgan Chase & Co., General Electric Company and Chipotle Mexican Grill, Inc.",10/29/2017,https://web.archive.org/web/20171029070741/https://finance.yahoo.com/quote/jpm/,['JPM'],,Yahoo Finance,https://web.archive.org/web/20171029070741/https://finance.yahoo.com/quote/jpm/,JPMorgan,4.3
"Consumer Credit Market In-Depth Analysis & Marginal Revenue Growth 2019-2025- JPMorgan Chase, Bank of America, Barclays",10/14/2019,https://web.archive.org/web/20191014040443/https://www.marketwatch.com/story/consumer-credit-market-in-depth-analysis-marginal-revenue-growth-2019-2025--jpmorgan-chase-bank-of-america-barclays-2019-10-04?mod=mw_quote_news,['JPM'],,MarketWatch,https://web.archive.org/web/20191014040443/https://www.marketwatch.com/investing/stock/jpm,JPMorgan,4.3
JPMorgan shares rise as earnings easily topestimates,07/21/2016,https://web.archive.org/web/20160721203604/http://www.cnbc.com:80/earnings/,['JPM'],,CNBC,https://web.archive.org/web/20160721203604/http://www.cnbc.com:80/earnings/,JPMorgan,4.3
"Dow 30 Stock Roundup: MSFT, JPM, IBM, JNJ, GS Earnings Impress",07/19/2019,https://web.archive.org/web/20190719172916/https://www.marketwatch.com/investing/stock/jpm,['JPM'],,MarketWatch,https://web.archive.org/web/20190719172916/https://www.marketwatch.com/investing/stock/jpm,JPM,4.3
"JPMorgan Q2 equity trading revenue $1.7 bln, down 12%",07/16/2019,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,['JPM'],,MarketWatch,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,JPMorgan,4.3
"JPMorgan Q2 markets revenue $5.4 bln, unchanged vs. year-earlier",07/16/2019,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,['JPM'],,MarketWatch,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,JPMorgan,4.3
"JPMorgan (JPM) Q2 Earnings Top, Stock Down on Dismal Outlook",07/16/2019,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,['JPM'],,MarketWatch,https://web.archive.org/web/20190716151009/https://www.marketwatch.com/investing/stock/jpm,JPMorgan,4.3
JPMorgan Earnings: JPM Stock Ticks Higher on Q2 Beat,07/14/2020,https://web.archive.org/web/20200714211513/https://www.marketwatch.com/investing/stock/JPM,['JPM'],,MarketWatch,https://web.archive.org/web/20200714211513/https://www.marketwatch.com/investing/stock/JPM,JPMorgan,4.3
JPMorgan Stock Kicks Off Bank Earnings; What's The Option Play?,07/14/2020,https://web.archive.org/web/20200714234902/https://finance.yahoo.com/quote/JPM,['JPM'],,Yahoo Finance,https://web.archive.org/web/20200714234902/https://finance.yahoo.com/quote/JPM,JPMorgan,4.3
