headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
This is the only second-half investment strategy you need,07/19/2018,https:///web/20180719071947/https://www.marketwatch.com/story/this-is-the-only-second-half-investment-strategy-you-need-2018-07-18,['NEE'],,MarketWatch,https://web.archive.org/web/20180719071947/https://www.marketwatch.com/retirement,NEE,4.3
Hain's accounting review finds no need to restate earnings; shares surge 4%,07/01/2017,https://web.archive.org/web/20170701211147/http://www.cnbc.com/earnings/,['NEE'],,CNBC,https://web.archive.org/web/20170701211147/http://www.cnbc.com/earnings/,NEE,4.3
How Will NextEra Energy (NEE) Stock Be Affected by Merger Delay?,06/17/2016,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,['NEE'],,The Street,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,NextEra,4.3
"TRGP, EXC And NEE, 3 Utilities Stocks Pushing The Sector Lower",06/17/2016,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,['NEE'],,The Street,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,NEE,4.3
"NextEra Energy (NEE) Stock Closes Up Today, Earnings Expected Thursday",05/02/2016,https://web.archive.org/web/20160502020414/http://www.thestreet.com/story/13547781/1/nextera-energy-nee-stock-closes-up-today-earnings-expected-thursday.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['NEE'],,MarketWatch,https://web.archive.org/web/20160502020414/http://www.marketwatch.com:80/investing/stock/NEE,NextEra,4.3
Earnings Season Could Be the Savior This Anxious Stock Market Needs,04/08/2018,https://web.archive.org/web/20180408232506/https://www.thestreet.com/markets/,['NEE'],,The Street,https://web.archive.org/web/20180408232506/https://www.thestreet.com/markets/,NEE,4.3
NextEra Energy Earnings: NEE Stock Ticks Higher Despite Q4 Miss,02/04/2020,https://web.archive.org/web/20200204141612/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20200204141612/https://www.marketwatch.com/investing/stock/nee,NextEra,4.3
"NextEra Energy (NEE) Misses Q4 Earnings, Ups 2018 Guidance",02/01/2018,https://web.archive.org/web/20180201010923/https://www.zacks.com/stock/quote/NEE,['NEE'],,Zacks,https://web.archive.org/web/20180201010923/https://www.zacks.com/stock/quote/NEE,NextEra,4.3
NextEra Energy’s Earnings Were Strong. Why the Stock Isn’t Rising.,10/29/2020,https://web.archive.org/web/20201029202652/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20201029202652/https://www.marketwatch.com/investing/stock/nee,NextEra,3.8
"Jobs report, Apple earnings — What you need to know for the week ahead",10/29/2018,https://web.archive.org/web/20181029004142/https://finance.yahoo.com/news/,['NEE'],,Yahoo Finance,https://web.archive.org/web/20181029004142/https://finance.yahoo.com/news/,NEE,3.8
Defiance NextGen SPAC IPO ETF Launches: What Investors Need To Know,10/02/2020,https://web.archive.org/web/20201002120615/https://www.marketwatch.com/investing,['NEE'],,MarketWatch,https://web.archive.org/web/20201002120615/https://www.marketwatch.com/investing,NEE,3.8
GE Competitor Siemens Healthineers Makes Blockbuster Acquisition,10/01/2020,https://web.archive.org/web/20201001015837/https://www.marketwatch.com/investing,['NEE'],,MarketWatch,https://web.archive.org/web/20201001015837/https://www.marketwatch.com/investing,NEE,3.8
Needed: neighborhood heliports for drone deliveries,10/01/2016,http:///web/20161001011512/http://www.marketwatch.com/story/needed-neighborhood-heliports-for-drone-deliveries-2016-09-27?link=MW_latest_news,['NEE'],,MarketWatch,https://web.archive.org/web/20161001011512/http://www.marketwatch.com/investing,NEE,3.8
Cramer: Bears need to eat some serious crow on Newell brands merger,10/01/2016,https://web.archive.org/web/20161001051510/http://www.cnbc.com/mad-money/,['NEE'],,CNBC,https://web.archive.org/web/20161001051510/http://www.cnbc.com/mad-money/,NEE,3.8
"NextEra Energy to split 4-for-1, raises 2021 earnings guidance",09/17/2020,https://web.archive.org/web/20200917003419/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20200917003419/https://www.marketwatch.com/investing/stock/nee,NextEra,3.8
NextEra Energy’s Earnings and Dividend Growth Prospects,08/20/2017,https://web.archive.org/web/20170820151405/https://finance.yahoo.com/quote/NEE/,['NEE'],,Yahoo Finance,https://web.archive.org/web/20170820151405/https://finance.yahoo.com/quote/NEE/,NextEra,3.8
Facebook's Earnings Report: Here's What You Need To Know,07/30/2015,https://web.archive.org/web/20150730115720/http://www.benzinga.com:80/trading-ideas,['NEE'],,Benzinga,https://web.archive.org/web/20150730115720/http://www.benzinga.com:80/trading-ideas,NEE,3.8
Afya IPO: What You Need To Know,07/17/2019,https://web.archive.org/web/20190717205901/https://www.benzinga.com/news,['NEE'],,Benzinga,https://web.archive.org/web/20190717205901/https://www.benzinga.com/news,NEE,3.8
HBO needs to get bigger after AT&T-Time; Warner merger,07/10/2018,https://web.archive.org/web/20180710111150/https://www.cnbc.com/technology/,['NEE'],,CNBC,https://web.archive.org/web/20180710111150/https://www.cnbc.com/technology/,NEE,3.8
"NextEra Energy's profit dips, backs guidance",07/05/2019,https://web.archive.org/web/20190705051224/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20190705051224/https://www.marketwatch.com/investing/stock/nee,NextEra,3.8
Clean energy company NextEra raises quarterly dividend by 13% to $1.11,07/05/2018,https://web.archive.org/web/20180705073824/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20180705073824/https://www.marketwatch.com/investing/stock/nee,NextEra,3.8
NextEra Energy raises quarterly dividend 13% to $1.11,07/05/2018,https://web.archive.org/web/20180705073824/https://www.marketwatch.com/investing/stock/nee,['NEE'],,MarketWatch,https://web.archive.org/web/20180705073824/https://www.marketwatch.com/investing/stock/nee,NextEra,3.8
"Clayton says he’s ‘fully committed’ to SEC, sees ‘no need’ to focus on nomination to be top Manhattan prosecutor",07/01/2020,https://web.archive.org/web/20200701044021/https://www.marketwatch.com/economy-politics,['NEE'],,MarketWatch,https://web.archive.org/web/20200701044021/https://www.marketwatch.com/economy-politics,NEE,3.8
Nextera Energy (NEE) Earnings Report: Q4 2015 Conference Call Transcript,06/17/2016,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,['NEE'],,The Street,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,NextEra,3.8
NextEra Energy (NEE) Earnings Report: Q3 2015 Conference Call Transcript,06/17/2016,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,['NEE'],,The Street,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,NextEra,3.8
NextEra Energy (NEE) Earnings Report: Q2 2015 Conference Call Transcript,06/17/2016,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,['NEE'],,The Street,https://web.archive.org/web/20160617234924/https://www.thestreet.com/quote/NEE.html,NextEra,3.8
NextEra (NEE) Up 6.3% Since Last Earnings Report: Can It Continue?,06/07/2019,https://web.archive.org/web/20190607043508/https://finance.yahoo.com/quote/NEE/news/,['NEE'],,Yahoo Finance,https://web.archive.org/web/20190607043508/https://finance.yahoo.com/quote/NEE/news/,NextEra,3.8
