headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
"Procter &amp; Gamble (PG) Q1 Earnings &amp; Sales Beat, Stock Up",10/27/2020,https://web.archive.org/web/20201027190108/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20201027190108/https://www.marketwatch.com/investing/stock/pg,Procter,4.3
"P&G (PG) Beats on Q4 Earnings, Stock Falls on Revenue Miss",08/03/2018,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20180803145025/https://www.zacks.com/stock/quote/PG,P&G,4.3
Chipotle Shares Higher Following CLSA Upgrade To Outperform,07/19/2016,https://web.archive.org/web/20160719214534/http://www.benzinga.com:80/news,['PG'],,Benzinga,https://web.archive.org/web/20160719214534/http://www.benzinga.com:80/news,PG,4.3
"Dow 30 Stock Roundup: BA, INTC, MSFT, KO, V, PG Earnings Impress, 3M Disappoints",04/28/2019,https://web.archive.org/web/20190428202949/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20190428202949/https://finance.yahoo.com/quote/PG/,PG,4.3
Cheesecake Factory Shares Upgraded to Buy After `Exaggerated Selloff',04/01/2020,https://web.archive.org/web/20200401045737/https://www.thestreet.com/investing,['PG'],,The Street,https://web.archive.org/web/20200401045737/https://www.thestreet.com/investing,PG,4.3
"Dow 30 Stock Roundup: UTX, TRV, PG, JNJ Earnings Impress, IBM Revenues Decline Y/Y",02/01/2019,https://web.archive.org/web/20190201080434/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20190201080434/https://www.zacks.com/stock/quote/PG,PG,4.3
"Procter & Gamble (PG) Q2 Earnings Top, Guidance Revised",01/28/2018,https://web.archive.org/web/20180128212732/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20180128212732/https://www.zacks.com/stock/quote/PG,Procter,4.3
"Pre-Market Earnings Report for January 20, 2017 :  GE, PG, SLB, SYF, STI, CFG, RF, COL, KSU, ABCB",01/26/2017,https://web.archive.org/web/20170126043543/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20170126043543/https://www.thestreet.com/quote/PG.html,PG,4.3
Mid-Day Market Update: Luxoft Jumps On Acquisition News; PG&E Shares Tumble,01/07/2019,https://web.archive.org/web/20190107223437/https://www.benzinga.com/markets,['PG'],,Benzinga,https://web.archive.org/web/20190107223437/https://www.benzinga.com/markets,PG,4.3
PG&E stock plummets after report it's eyeing bankruptcy filing,01/05/2019,https:///web/20190105034128/https://www.marketwatch.com/story/pge-stock-plummets-after-report-its-eyeing-bankruptcy-filing-2019-01-04?link=MW_latest_news,['PG'],,MarketWatch,https://web.archive.org/web/20190105034128/https://www.marketwatch.com/economy-politics,PG,4.3
L Brands Rising After Analyst Upgrade of Victoria's Secret Parent,01/04/2020,https://web.archive.org/web/20200104053004/https://www.thestreet.com/investing,['PG'],,The Street,https://web.archive.org/web/20200104053004/https://www.thestreet.com/investing,PG,4.3
Why Is P&amp;G (PG) Down 2.5% Since Last Earnings Report?,12/06/2020,https://web.archive.org/web/20201206205116/https://www.marketwatch.com/investing/stock/PG,['PG'],,MarketWatch,https://web.archive.org/web/20201206205116/https://www.marketwatch.com/investing/stock/PG,PG,3.8
"The Zacks Analyst Blog Highlights: Dollar General, MarketAxess, Procter & Gamble, Chipotle Mexican and Advanced Micro",11/02/2019,https://web.archive.org/web/20191102105100/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20191102105100/https://finance.yahoo.com/quote/PG/,Procter,3.8
