headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Analysts Estimate UnitedHealth Group (UNH) to Report a Decline in Earnings: What to Look Out for,10/11/2020,https://web.archive.org/web/20201011143808/https://finance.yahoo.com/quote/UNH,['UNH'],,Yahoo Finance,https://web.archive.org/web/20201011143808/https://finance.yahoo.com/quote/UNH,UnitedHealth,4.3
"UnitedHealth Earnings Crush Amid Coronavirus, But Guidance Stays Put; UNH Stock Dips",07/21/2020,https://web.archive.org/web/20200721200056/https://finance.yahoo.com/quote/UNH,['UNH'],,Yahoo Finance,https://web.archive.org/web/20200721200056/https://finance.yahoo.com/quote/UNH,UnitedHealth,4.3
UnitedHealth Earnings: UNH Stock Dips Despite Q2 Beat,07/18/2019,https://web.archive.org/web/20190718165026/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20190718165026/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,4.3
United Health Earnings: UNH Stock Ticks 2% Lower Despite Q2 Beat,07/16/2020,https://web.archive.org/web/20200716115437/https://www.marketwatch.com/investing/stock/UNH,['UNH'],,MarketWatch,https://web.archive.org/web/20200716115437/https://www.marketwatch.com/investing/stock/UNH,UNH,4.3
"Dow 30 Stock Roundup: AmEx, Goldman, IBM, JNJ, P&G, UNH Earnings Impress",04/25/2018,https://web.archive.org/web/20180425152949/https://www.zacks.com/stock/quote/UNH,['UNH'],,Zacks,https://web.archive.org/web/20180425152949/https://www.zacks.com/stock/quote/UNH,UNH,4.3
UnitedHealth Earnings: UNH Stock Surges 3% on Healthy Q1,04/16/2020,https://web.archive.org/web/20200416075816/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20200416075816/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,4.3
"Dow 30 Stock Roundup: AXP, GS, UNH IBM Q4 Earnings Impress",01/23/2018,https://web.archive.org/web/20180123005447/https://finance.yahoo.com/quote/UNH/,['UNH'],,Yahoo Finance,https://web.archive.org/web/20180123005447/https://finance.yahoo.com/quote/UNH/,UNH,4.3
UnitedHealth Group (UNH) Stock Gains in Early Market Trading Today on Strong Quarterly Results,01/21/2015,https://web.archive.org/web/20150121152248/http://www.thestreet.com/story/13017639/1/unitedhealth-group-unh-stock-gains-in-early-market-trading-today-on-strong-quarterly-results.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH,['UNH'],,MarketWatch,https://web.archive.org/web/20150121152248/http://www.marketwatch.com/investing/stock/unh,UnitedHealth,4.3
"UnitedHealth (UNH) Beats on 4Q Earnings, Keeps 2019 Guidance",01/15/2019,https://web.archive.org/web/20190115235551/https://www.zacks.com/stock/quote/UNH,['UNH'],,Zacks,https://web.archive.org/web/20190115235551/https://www.zacks.com/stock/quote/UNH,UnitedHealth,4.3
Humana and UnitedHealth Are Sticking With Their Forecasts on Earnings,12/10/2019,https://web.archive.org/web/20191210122112/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20191210122112/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,3.8
UnitedHealth sets 2021 guidance of revenue of $277 bln to $280 bln; FactSet consensus $278.5 bln,12/03/2020,https://web.archive.org/web/20201203130356/https://www.marketwatch.com/investing/stock/UNH,['UNH'],,MarketWatch,https://web.archive.org/web/20201203130356/https://www.marketwatch.com/investing/stock/UNH,UnitedHealth,3.8
UnitedHealth's (UNH) Solid Earnings View Buoys Investor Hopes,12/03/2020,https://web.archive.org/web/20201203130356/https://www.marketwatch.com/investing/stock/UNH,['UNH'],,MarketWatch,https://web.archive.org/web/20201203130356/https://www.marketwatch.com/investing/stock/UNH,UnitedHealth,3.8
UnitedHealth Group Board Authorizes Payment of Quarterly Dividend,11/09/2019,https://web.archive.org/web/20191109053752/https://finance.yahoo.com/quote/UNH,['UNH'],,Yahoo Finance,https://web.archive.org/web/20191109053752/https://finance.yahoo.com/quote/UNH,UnitedHealth,3.8
"Research Reports Initiation on Healthcare Stocks -- CVS Health, Express Scripts, UnitedHealth, and Lipocine",11/09/2016,http:///web/20161109214123/http://www.marketwatch.com/story/research-reports-initiation-on-healthcare-stocks----cvs-health-express-scripts-unitedhealth-and-lipocine-2016-11-09,['UNH'],,MarketWatch,https://web.archive.org/web/20161109214123/http://www.marketwatch.com/investing/stock/UNH,UnitedHealth,3.8
New leadership and earnings beat propel UnitedHealth stock to all-time high,11/05/2017,https://web.archive.org/web/20171105174849/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20171105174849/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,3.8
Medicare Advantage: Key Revenue Driver for UNH,10/30/2018,https://web.archive.org/web/20181030102515/https://finance.yahoo.com/quote/unh,['UNH'],,Yahoo Finance,https://web.archive.org/web/20181030102515/https://finance.yahoo.com/quote/unh,UNH,3.8
"UnitedHealth reports revenue, earnings ahead of forecast",10/23/2015,http:///web/20151023070004/http://www.marketwatch.com/story/unitedhealth-reports-revenue-earnings-ahead-of-forecast-2015-10-15,['UNH'],,MarketWatch,https://web.archive.org/web/20151023070004/http://www.marketwatch.com:80/investing/Stock/UNH?,UnitedHealth,3.8
Edited Transcript of UNH earnings conference call or presentation 17-Oct-17 12:45pm GMT,10/21/2017,https://web.archive.org/web/20171021012138/https://finance.yahoo.com/quote/UNH/,['UNH'],,Yahoo Finance,https://web.archive.org/web/20171021012138/https://finance.yahoo.com/quote/UNH/,UNH,3.8
"Goldman loses its Wall Street luster as earnings disappoint, UnitedHealth’s stock soars to record price gain",10/16/2019,https://web.archive.org/web/20191016065442/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20191016065442/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,3.8
"UnitedHealth's stock jumps after earnings rise above expectations, and guidance raised",10/16/2019,https://web.archive.org/web/20191016065442/https://www.marketwatch.com/investing/stock/unh,['UNH'],,MarketWatch,https://web.archive.org/web/20191016065442/https://www.marketwatch.com/investing/stock/unh,UnitedHealth,3.8
Will Optum Aid UnitedHealth Group's (UNH) Q3 Earnings?,10/16/2018,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,['UNH'],,Yahoo Finance,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,UnitedHealth,3.8
UnitedHealth’s Earnings Should Be ‘Solid.’ Will That Be Enough to Lift the Stock?,10/16/2018,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,['UNH'],,Yahoo Finance,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,UnitedHealth,3.8
Should You Buy UnitedHealth Group (UNH) Ahead of Earnings?,10/16/2018,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,['UNH'],,Yahoo Finance,https://web.archive.org/web/20181016101425/https://finance.yahoo.com/quote/unh,UnitedHealth,3.8
