headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
"Oil &amp; Gas Stocks' Q3 Earnings Due on Oct 30: XOM, CVX &amp; IMO",11/01/2020,https://web.archive.org/web/20201101044032/https://www.marketwatch.com/investing/stock/xom,['XOM'],,MarketWatch,https://web.archive.org/web/20201101044032/https://www.marketwatch.com/investing/stock/xom,XOM,4.3
"Oil Stocks to Watch for Earnings on Jul 27: CVX, XOM & IMO",07/27/2018,https://web.archive.org/web/20180727075813/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20180727075813/https://finance.yahoo.com/quote/XOM/,XOM,4.3
"Oil Stocks Q1 Earnings Roster for Apr 27: XOM, PSX, CVX, COG",04/26/2018,https://web.archive.org/web/20180426233030/https://www.zacks.com/stock/quote/XOM,['XOM'],,Zacks,https://web.archive.org/web/20180426233030/https://www.zacks.com/stock/quote/XOM,XOM,4.3
Exxon Mobil Earnings: XOM Stock Slides 4% on Q4 Miss,02/02/2020,https://web.archive.org/web/20200202080610/https://www.marketwatch.com/investing/stock/xom,['XOM'],,MarketWatch,https://web.archive.org/web/20200202080610/https://www.marketwatch.com/investing/stock/xom,Exxon,4.3
Here’s the Forecast for XOM’s Price Leading Up to Its Q4 Earnings,01/17/2019,https://web.archive.org/web/20190117181232/https://finance.yahoo.com/quote/xom/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20190117181232/https://finance.yahoo.com/quote/xom/,XOM,4.3
Edited Transcript of XOM earnings conference call or presentation 2-Nov-18 1:30pm GMT,11/03/2018,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,XOM,3.8
Exxon Mobil Corp (XOM) Q3 2018 Earnings Conference Call Transcript,11/03/2018,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,Exxon,3.8
"ExxonMobil (XOM) Q3 Earnings Surpass Estimates, Improve Y/Y",11/03/2018,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,Exxon,3.8
"Exxon, Chevron earnings soar on rising U.S. crude prices, output",11/03/2018,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,Exxon,3.8
Chevron and Exxon Stocks Are Surging on Strong Earnings,11/03/2018,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20181103130952/https://finance.yahoo.com/quote/XOM/,Exxon,3.8
